R1,R2
0,47.9
1,47.9
2,47.9
3,47.95766234
4,48.16181818
5,47.56493506
6,47.86883117
7,48.2
8,47.99818182
9,48.13064935
10,48.42987013
11,48.27792208
12,48.00714286
13,48.10181818
14,48.3612987
15,48.10727273
16,47.96428571
17,47.71142857
18,48.37376623
19,47.98571429
20,47.89376623
21,48.13376623
22,47.47454545
23,48.38857143
24,48.19103896
25,48.30753247
26,48.1512987
27,47.66233766
28,48.03324675
29,48.37454545
30,48.13727273
31,48.13766234
32,48.78831169
33,48.33480519
34,48.13142857
35,48.51480519
36,48.21363636
37,48.32935065
38,48.36987013
39,48.23272727
40,48.36831169
41,48.28181818
42,48.2038961
43,48.16181818
44,48.55649351
45,48.41428571
46,48.35194805
47,48.32623377
48,48.59818182
49,48.78909091
50,48.36363636
51,48.62857143
52,48.78051948
53,48.71272727
54,48.32545455
55,48.28727273
56,48.32857143
57,48.36363636
58,48.34415584
59,48.34805195
60,48.5
61,48.39090909
62,48.60090909
63,48.5
64,48.5
65,48.38545455
66,48.22727273
67,48.44
68,48.42207792
69,48.27012987
70,48.5
71,48.69090909
72,48.85688312
73,48.8225974
74,48.57285714
75,48.69714286
76,48.7025974
77,48.58025974
78,48.8
79,48.89272727
80,49.09454545
81,48.88181818
82,48.93090909
83,49.1
84,49.17207792
85,49.4
86,49.17207792
87,48.98857143
88,49.1
89,48.84285714
90,49.38831169
91,49.1
92,49.25818182
93,49.82857143
94,49.86012987
95,49.68285714
96,49.80909091
97,49.8987013
98,50.29025974
99,50.41454545
100,50.44571429
101,50.46363636
102,50.75896104
103,51.0425974
104,50.98649351
105,50.88675325
106,50.53181818
107,51.2
108,51.2
109,51.37454545
110,51.63441558
111,51.8
112,51.8
113,51.8
114,51.76181818
115,51.54909091
116,51.66363636
117,51.86155844
118,51.98038961
119,51.89974026
120,52.46545455
121,53.37012987
122,53.29142857
123,53.05064935
124,53.1761039
125,52.87766234
126,53.41688312
127,53.86727273
128,53.7725974
129,53.57350649
130,53.74181818
131,54.09090909
132,53.66545455
133,53.78
134,53.99272727
135,54.19454545
136,54.17857143
137,54.50155844
138,55.14363636
139,55.27766234
140,54.98311688
141,55.20909091
142,55.99454545
143,55.58545455
144,55.4
145,55.46545455
146,55.89090909
147,55.84181818
148,55.81181818
149,56.28363636
150,56.4538961
151,56.82207792
152,56.88636364
153,57.17818182
154,57.14818182
155,57.5
156,57.24480519
157,57.78441558
158,57.8
159,57.8
160,57.8
161,57.66363636
162,57.5
163,58.03376623
