R1,R2
0,56.3
1,56.3
2,56.3
3,56.3
4,56.3
5,56.3
6,56.3
7,56.3
8,56.3
9,56.71197183
10,56.31346831
11,56.68503521
12,55.96646127
13,55.85
14,56.08054577
15,56.49014085
16,56.93301056
17,56.3
18,56.33802817
19,56.27306338
20,56.44181338
21,56.62007042
22,56.3
23,56.53292254
24,56.1993838
25,56.16690141
26,56.3
27,56.33169014
28,57.14058099
29,56.3
30,55.97042254
31,56.23978873
32,56.25721831
33,56.3
34,55.97676056
35,56.22394366
36,56.3
37,56.3
38,56.19463028
39,55.87059859
40,56.54163732
41,56.75
42,56.75
43,56.3
44,55.88565141
45,56.71514085
46,56.39903169
47,57.11760563
48,57.2
49,57.2
50,57.2
51,57.03996479
52,57.12632042
53,57.52323944
54,57.18336268
55,56.83080986
56,57.51769366
57,57.38380282
58,57.4147007
59,57.2459507
60,57.4915493
61,57.30774648
62,57.2
63,58.00809859
64,57.38855634
65,57.85915493
66,57.40123239
67,57.65
68,57.95026408
69,58.00176056
70,58.1
71,58.09049296
72,58.15625
73,58.49929577
74,58.20140845
75,58.55
76,58.81223592
77,58.68626761
78,58.69577465
79,59
80,59.43177817
81,59.06971831
82,59.39295775
83,59.10774648
84,59.45
85,59.65915493
86,59.31294014
87,59.37869718
88,59.45
89,59.45
90,59.9
91,60.28661972
92,60.20026408
93,60.39753521
94,60.63917254
95,60.6431338
96,61.11690141
97,61.69366197
98,61.7
99,61.7
100,61.55184859
101,61.37042254
102,61.52887324
103,61.25
104,62.05413732
105,62.13098592
106,62.33697183
107,61.75070423
108,62.57464789
109,62.8028169
110,62.89947183
111,62.6
112,62.6
113,63.5
114,63.86047535
115,63.56971831
116,63.51901408
117,64.07359155
118,64.4
119,64.4
120,64.4
121,64.07042254
122,64.68521127
123,65.39665493
124,65.39744718
125,65.21443662
126,65.59352993
127,65.91716549
128,65.75
129,66.0415493
130,65.85695423
131,66.14454225
132,65.86170775
133,67.04295775
134,66.65633803
135,67.25052817
136,67.55
137,67.15070423
138,67.15149648
139,67.64348592
140,68
141,68.00950704
142,68.4397007
143,68.225
144,68.62271127
145,69.11549296
146,69.26602113
147,69.66848592
148,69.35
149,69.88873239
150,69.8
151,69.8
152,70.36963028
153,70.25
154,70.47103873
155,70.68890845
156,70.81804577
157,70.95669014
158,71.44551056
159,71.48195423
160,72.00602993
161,71.75528169
162,71.6
163,71.71408451
164,72.34392606
165,72.73450704
166,72.55308099
167,72.63309859
168,73.21778169
169,73.05140845
170,73.4
171,73.4
172,73.56478873
173,74.07183099
174,74.41091549
175,74.70088028
176,75.1881162
177,75.13661972
178,74.89022887
179,75.62464789
180,75.72605634
181,76.24260563
182,75.95660211
183,75.87183099
184,76.35272887
185,76.55
186,76.61971831
187,77
188,77.27015845
189,77.45
190,77.73283451
191,77.74947183
192,78.28582746
193,78.07746479
194,78.8
195,78.8
196,78.8
197,78.8
198,79.00519366
199,79.38943662
200,79.95985915
201,80.54929577
202,80.15
203,80.20228873
204,80.6
205,80.88838028
206,80.35677817
207,81.14665493
208,81.64577465
209,81.86126761
210,81.53723592
211,81.93573944
212,81.95
213,82.34929577
214,81.95
215,82.59964789
216,83.07103873
217,83.3
218,83.3
219,83.32376761
220,83.86804577
221,84.2
222,84.2
223,84.2
224,84.2
225,84.48521127
226,84.8084507
227,84.71179577
228,85.27984155
229,85.55
230,85.55
231,85.55
232,85.80431338
233,86.03169014
234,86.61795775
235,86.9
236,87.30167254
237,87.35
238,87.35
239,87.35
240,87.8
241,88.4528169
242,88.39102113
243,88.40528169
244,88.51738556
245,89.01848592
246,88.71663732
247,89.27676056
248,89.6
249,89.6
250,89.6
251,89.67605634
252,90.5
253,90.5
254,90.5
255,90.67112676
256,91.4
257,91.4
258,91.4
259,91.81830986
260,91.4
261,92.18908451
262,92.75
263,92.30792254
264,92.34357394
265,93.10492958
266,93.2
267,93.21267606
268,94.06197183
269,94.40105634
270,94.19744718
271,94.1
272,94.55
273,94.49295775
274,94.31628521
275,95
276,95.44366197
277,95.03811786
278,95.30122824
279,95.74338792
280,95.87102295
281,96.20147489
282,96.57629302
283,96.70392805
284,96.83156308
285,96.95919811
286,97.08683315
287,97.33647522
288,98.08999053
289,98.36973824
290,98.49737327
291,98.6250083
292,98.75264334
293,98.88027837
294,99.0079134
295,99.52850618
296,99.71318346
297,99.8408185
298,99.9739993
299,100.5001379
300,100.3211708
301,100.6967812
302,101.1730077
303,101.5002907
304,101.6342637
305,101.7618988
306,101.8895338
307,102.0171688
308,102.1448038
309,102.2724389
310,102.4824683
311,102.9777089
312,103.289939
313,103.682979
314,103.810614
315,103.9382491
316,104.0658841
317,104.3709839
318,104.7711542
319,104.8987892
320,105.0264242
321,105.1540593
322,105.2816943
323,105.4774631
324,105.970327
325,105.810374
326,106.28462
327,106.7509434
328,106.9475045
329,107.0751395
330,107.2027745
331,107.3304096
332,107.4580446
333,107.8518768
334,108.1633147
335,108.2909497
336,108.4185847
337,108.5462198
338,108.8695414
339,109.2514898
340,109.3791249
341,109.8173233
342,110.0843949
343,110.21203
344,110.339665
345,110.4673
346,110.5949351
347,110.7225701
348,110.8502051
349,111.4119951
350,112.0054752
351,112.1331102
352,112.2607452
353,112.3883803
354,112.5160153
355,112.6436503
356,112.7712854
357,113.2982162
358,113.4765554
359,113.6041905
360,113.7318255
361,113.8594605
362,113.9870956
363,114.4680757
364,114.9355875
365,114.9752824
366,115.3976357
367,115.5252707
368,115.6529058
369,115.7805408
370,115.9081758
371,116.1752475
372,116.7934743
373,117.4619718
374,117.5
375,117.5
376,117.5388204
377,118.3873239
378,118.4
379,118.6661972
380,118.9830986
381,119.3
382,119.3
383,119.6216549
384,119.75
385,119.8704225
386,120.2
387,120.2
388,120.5066021
389,121.1
390,121.3178697
391,121.55
392,121.55
393,121.781338
394,122.2824384
395,122.45
396,122.671831
397,122.9
398,122.9
399,123.1455986
400,123.0529049
401,123.6985915
402,123.849912
403,124.2484155
404,124.5161972
405,124.8045775
406,125.15
407,125.4859155
408,125.6
409,125.6
410,125.6
411,126.3748239
412,126.5
413,126.6901408
414,126.95
415,127.1195423
416,127.4079225
417,127.6725352
418,127.856338
419,128.2556338
420,128.3950704
421,128.75
422,128.8300176
423,129.0684859
424,128.9330106
425,129.2
426,129.2507042
427,129.65
428,129.7617077
429,130.55
430,130.55
431,130.55
432,130.6949824
433,131
434,131.0950704
435,131.8556338
436,131.9
437,131.9
438,132.35
439,132.35
440,132.6930458
441,133.1549296
442,133.5447183
443,133.7
444,133.7
445,133.7855634
446,134.6340669
447,135.4651408
448,136.8080106
449,137.9591549
450,138.9399648
451,140.2297535
452,141.212544
453,141.6146127
454,141.296919
455,141.3294014
456,140.9308979
457,140.8112676
458,140.9
459,141.0853873
460,141.35
461,141.7239437
462,141.8
463,141.8586268
464,142.25
465,142.5732394
466,143.15
467,143.9026408
468,144.5800176
469,145.1496479
470,145.4
471,145.4966549
472,145.85
473,146.6676056
474,147.1421655
475,147.7244718
476,148.1
477,148.3376761
478,148.55
479,148.6846831
480,149.0958627
481,150.2802817
482,150.4387324
483,150.8
484,151.1272007
485,151.25
486,151.4742077
487,151.9772887
488,151.8212148
489,152.6
490,153.4556338
491,153.5
492,153.5
493,153.5
494,153.95
495,154.4
496,154.7485915
497,154.85
498,154.85
499,155.2492958
500,155.3
501,155.75
502,156.2
503,156.4535211
504,156.65
505,156.65
506,156.6943662
507,157.093662
508,157.1
509,157.6577465
510,158.45
511,158.45
512,158.45
513,158.45
514,158.5387324
515,158.9808099
516,159.7706866
517,159.8633803
518,160.25
519,160.25
520,160.25
521,160.25
522,160.3830986
523,160.7
524,161.15
525,161.6
526,161.6697183
527,162.05
528,162.05
529,162.05
530,162.05
531,162.1767606
532,162.8446303
533,163.3746479
534,163.4
535,163.4
536,163.4
537,163.4
538,163.4
539,163.6551056
540,164.3
541,164.75
542,164.75
543,164.75
544,164.75
545,164.75
546,165.034419
547,164.9670775
548,165.1833627
549,165.9859155
550,166.1
551,166.1
552,166.1
553,166.1
554,165.7775528
555,165.65
556,166.1213908
557,166.7084507
558,167
559,167
560,167
561,167
562,167
563,167
564,166.9350352
565,167.2471831
566,167.6021127
567,167.9
568,167.9514965
569,168.35
